N/A   0   0 0  0    1.0     0.0         0x000000
#       Z  nv nb np   RvdW    EvdW        color      QEq(Eaff,  Ehard,   Ra,      eta)   MMFF( Ass, Asp, Kss, Ksp, Kep, Kpp)    Epair( ne, eRvdW, eEvdW, eQ) 
H       1 1 1 -1    1.443   0.0019080   0xFFFFFF      -4.528	13.8904	0.371	1.0698
C       6 4 4 -1    1.926   0.0045532   0x909090      -5.343	10.126	0.759	0.8563
N       7 5 3 -1    1.830   0.0029921   0x3050F8      -6.899	11.760	0.715	0.9089
O       8 6 2 -1    1.750   0.0026018   0xFF0D0D      -8.741	13.364	0.669	0.9745
F       9 7 1  0    1.682   0.0021682   0x1FF01F     -10.874	14.948	0.706	0.9206
Na     11 1 1  0    1.492   0.0013009   0xAB5CF2      -2.843	 4.592	2.085	0.4364
Cl     17 7 1  0    1.974   0.0098437   0x1FF01F      -8.564	 9.892	0.994	0.9154
Xe     54 8 0  0    2.1815  0.0243442   0x429EB0
Cu     29 1 0  0    2.23    0.03        0xC88033
E     200 0 0  0    0.5     0.001       0x00FFFF
#
C_3     6 4 4 2     1.926   0.0045532   0x909090      -5.343	10.126	0.759	0.8563
C_2     6 4 4 2     1.926   0.0045532   0x909090      -5.343	10.126	0.759	0.8563
C_1     6 4 4 2     1.926   0.0045532   0x909090      -5.343	10.126	0.759	0.8563
C_R     6 4 4 2     1.926   0.0045532   0x909090      -5.343	10.126	0.759	0.8563
#
N_3     7 5 3 2     1.830   0.0029921   0x3050F8      -6.899	11.76	0.715	0.9089
N_2     7 5 3 2     1.830   0.0029921   0x3050F8      -6.899	11.76	0.715	0.9089
N_1     7 5 3 2     1.830   0.0029921   0x3050F8      -6.899	11.76	0.715	0.9089
N_R     7 5 3 -1    1.830   0.0029921   0x3050F8      -6.899	11.76	0.715	0.9089
#
O_3     8 6 2 2     1.750   0.0026018   0xFF0D0D      -8.741	13.364	0.669	0.9745
O_2     8 6 2 2     1.750   0.0026018   0xFF0D0D      -8.741	13.364	0.669	0.9745
O_1     8 6 2 2     1.750   0.0026018   0xFF0D0D      -8.741	13.364	0.669	0.9745
O_R     8 6 2 2     1.750   0.0026018   0xFF0D0D      -8.741	13.364	0.669	0.9745
