N/A     N/A  H        E    1  0   0   0   0.0  0.0   0.0006808  0.0     0.0
#1     2      3       4    5  6   7   8    9       10      11       12      13       15     16     17  18  19  20
#name parent element epair nv ne npi sym  Ruff   RvdW    EvdW       Qbase    Hb      Ass    Asp    Kss Ksp Kep Kpp
E      N/A    E       N/A  0  0   0   0   0.5    0.5     0.001      0.0     0.0    
H      N/A    H       E    1  0   0   0   0.354  1.187   0.0006808  0.0     0.0       
He     N/A    He      E    0  0   0   0   0.849  1.4815  0.0009450  0.0     0.0        
Li     N/A    Li      E    1  0   0   0   1.336  1.2255  0.0010841  0.0     0.0      
Be     N/A    Be      E    2  0   0   0   1.074  1.3725  0.0036859  0.0     0.0       
B      N/A    B       E    3 -1   0   0   0.838  2.0415  0.0078054  0.0     0.0       
C      N/A    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      109.5  -19.5  6.32  0.0 0.0 0.0           
N      N/A    N       E    3  1   0   0   0.700  1.780   0.0073719  0.0     0.0      109.5  -19.5  5.60  1.0 0.0 0.5 
O      N/A    O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      109.5  -19.5  5.99  1.0 0.0 0.5 
F      N/A    F       E    1  1   0   0   0.668  1.661   0.0091063  0.0     0.0      
Ne     N/A    Ne      E    0  0   0   0   0.920  2.0000  0.0010000  0.0     0.0       
Na     N/A    Na      E    1  0   0   0   1.539  1.300   0.0020000  0.0     0.0       
Mg     N/A    Mg      E    2  0   0   0   1.421  1.5105  0.0048133  0.0     0.0       
Al     N/A    Al      E    3 -1   0   0   1.244  2.2495  0.0218985  0.0     0.0      
Si     N/A    Si      E    4  0   0   0   1.117  2.1475  0.0174321  0.0     0.0      109.5  -19.5  6.32  0.0 0.0 0.0 
P      N/A    P       E    3  1   0   0   1.101  2.0735  0.0132258  0.0     0.0      109.5  -19.5  5.60  1.0 0.0 0.5
S      N/A    S       E    2  2   0   0   1.064  2.0175  0.0118816  0.0     0.0      109.5  -19.5  5.99  1.0 0.0 0.5    
Cl     N/A    Cl      E    1  1   0   0   1.044  1.948   0.0200000  0.0     0.0  
#
C_3    C      C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      109.5  -19.5  6.32  0.0 5.0 0.0
C_2    C      C       E    4  0   0   0   0.732  1.908   0.0037292  0.0     0.0      120.0    0.0  5.94  2.2 5.0 1.0
C_1    C      C       E    4  0   0   0   0.706  1.908   0.0037292  0.0     0.0      180.0    0.0  3.88  0.0 0.0 0.0
C_R    C      C       E    4  0   0   0   0.729  1.908   0.0037292  0.0     0.0      120.0    0.0  6.34  2.2 1.0 1.0
C_CH3  C_3    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      109.5  -19.5  6.32  0.0 0.0 0.0
C_ene  C_2    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      120.0    0.0  5.94  2.2 1.0 1.0
C_yne  C_1    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      180.0    0.0  3.88  0.0 0.0 0.0
C_ald  C_2    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      120.0    0.0  5.94  2.2 1.0 1.0
C_COO  C_2    C       E    4  0   0   0   0.757  1.908   0.0037292  0.0     0.0      120.0    0.0  5.94  2.2 1.0 1.0
#
N_3    N      N       E    3  1   0   0   0.700  1.780   0.0073719  0.0     0.0      109.5  -19.5  5.60  0.0 0.0 0.0
N_2    N      N       E    3  1   0   0   0.700  1.780   0.0073719  0.0     0.0      120.0    0.0  7.43  2.2 0.0 1.0
N_1    N      N       E    3  1   0   0   0.700  1.780   0.0073719  0.0     0.0      180.0    0.0  4.82  0.0 0.0 1.0
N_R    N      N       E    3  1   0   0   0.699  1.780   0.0073719  0.0     0.0      109.5   10.0  7.43  0.1 0.0 0.2
#
O_3    O      O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      109.5  -19.5  5.99  0.0 0.0 0.0
O_2    O      O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      120.0    0.0  8.02  2.2 0.0 1.0
O_1    O      O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      180.0    0.5  8.02  0.0 0.0 0.0
O_R    O      O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      180.0    0.5  8.02  1.0 0.0 0.5
O_OH   O_3    O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      109.5  -19.5  5.99  1.0 0.0 0.5
O_ald  O_2    O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      120.0    0.5  8.02  2.2 0.0 1.0
O_sCOO O_3    O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      109.5  -19.5  5.99  1.0 0.0 0.5
O_pCOO O_2    O       E    2  2   0   0   0.658  1.661   0.0091063  0.0     0.0      120.0    0.0  8.02  2.2 0.0 1.0
#
H_OH   H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0      
H_NH2  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0   
H_CH3  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0  
H_ene  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0     
H_yne  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0     
H_ald  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0     
H_COO  H      H       E    1  0   0   0   0.354  1.487   0.0006808  0.0     0.0 
