1 1  1  0.74    10.0
1 6  1  1.09    11.0
1 7  1  1.01    12.0
1 8  1  0.96    13.0
1 9  1  0.92    14.0
6 6  1  1.54    15.0
6 6  2  1.34    20.0
6 6  3  1.20    25.0
6 7  1  1.47    14.0
6 7  2  1.28    19.0
6 7  3  1.14    24.0
6 8  1  1.47    12.0
6 8  2  1.23    17.0
6 8  3  1.13    21.0
6 9  1  1.35    11.0
6 16 1  1.82    13.0
7 7  1  1.45    11.0
7 7  2  1.25    12.0
7 7  3  1.10    13.0
7 8  1  1.47    12.0
7 8  2  1.24    13.0
7 8  3  1.10    15.0
8 8  1  1.48    9.0
8 8  2  1.21    10.0
