#1     2     3       4     5  6   7   8   9         10        11                  12      13       14          15      16    17  18  19
#name parent element epair nv ne  npi sym Ruff[Ang] RvdW[Ang] EvdW[eV]            Qbase   Hb       Ass[deg]    Asp     Kss   Ksp Kep Kpp
*      *     H       E     1  0   0   0   0.0       0.0       0.001               0.0     0.0      109.5
E      *     E       *     0  0   0   0   0.5       0.5       0.001               0.0     0.0      109.5
H      *     H       E     1  0   0   0   0.354     1.4430    0.00190802059       0.0     0.0      180.0       
He     *     He      E     0  0   0   0   0.849     1.1810    0.00242838984       0.0     0.0       90.0  
Li     *     Li      E     1  0   0   0   1.336     1.2255    0.00108410261       0.0     0.0      180.0
Be     *     Be      E     2  0   0   0   1.074     1.3725    0.00368594886       0.0     0.0      109.47 
B      *     B       E     3 -1   0   0   0.8       2.0415    0.00780553876       0.0     0.0      109.5 
C      *     C       E     4  0   0   0   0.7       1.9255    0.00455323095       0.0     0.0      109.5       -19.5   6.32  0.0 0.0 0.0           
N      *     N       E     3  1   0   0   0.7       1.8300    0.00299212319       0.0     0.0      109.5       -19.5   5.60  1.0 0.0 0.5 
O      *     O       E     2  2   0   0   0.6       1.7500    0.00260184625       0.0     0.0      109.5       -19.5   5.99  1.0 0.0 0.5 
F      *     F       E     1  1   0   0   0.668     1.6820    0.00216820521       0.0     0.0      180.0
Ne     *     Ne      E     0  0   0   0   0.920     1.6215    0.00182129238       0.0     0.0       90.0
Na     *     Na      E     1  0   0   0   1.539     1.4915    0.00130092313       0.0     0.0      180.0
Mg     *     Mg      E     2  0   0   0   1.421     1.5105    0.00481341557       0.0     0.0      109.47
Al     *     Al      E     3 -1   0   0   1.244     2.2495    0.02189887264       0.0     0.0      109.47
Si     *     Si      E     4  0   0   0   1.117     2.1475    0.01743236991       0.0     0.0      109.47      -19.5   6.32  0.0 0.0 0.0 
P      *     P       E     3  1   0   0   1.1       2.0735    0.01322605179       0.0     0.0      109.5       -19.5   5.60  1.0 0.0 0.5
S      *     S       E     2  2   0   0   1.0       2.0175    0.01188176456       0.0     0.0      109.5       -19.5   5.99  1.0 0.0 0.5    
Cl     *     Cl      E     1  1   0   0   1.044     1.9735    0.00984365166       0.0     0.0      180.0
# UFF types                                                                   
H_     H      H      E     1  0   0   0   0.354     1.4430    0.00190802059       0.0     0.0      180.0       
C_3    C      C      E     4  0   0   0   0.757     1.9255    0.00455323095       0.0     0.0      109.47      -19.47  6.32  1.6 1.0 0.0
C_R    C      C      E     4  0   0   0   0.729     1.9255    0.00455323095       0.0     0.0      120.0         0.0   6.34  1.6 1.0 1.3
C_2    C      C      E     4  0   0   0   0.732     1.9255    0.00455323095       0.0     0.0      120.0         0.0   4.21  1.6 1.0 2.0
C_1    C      C      E     4  0   0   0   0.706     1.9255    0.00455323095       0.0     0.0      180.0         0.0   3.88  1.6 1.0 0.0
N_3    N      N      E     3  1   0   0   0.700     1.8300    0.00299212319       0.0     0.0      106.7       -22.1   5.60  1.6 1.0 0.4
N_R    N      N      E     3  1   0   0   0.699     1.8300    0.00299212319       0.0     0.0      120.0         0.0   7.43  1.6 1.0 1.3
N_2    N      N      E     3  1   0   0   0.685     1.8300    0.00299212319       0.0     0.0      111.2         0.0   7.43  1.6 1.0 0.9
N_1    N      N      E     3  1   0   0   0.656     1.8300    0.00299212319       0.0     0.0      180.0         0.0   4.82  1.6 1.0 0.0
O_3    O      O      E     2  2   0   0   0.658     1.7500    0.00260184625       0.0     0.0      104.51      -37.745 5.99  1.6 1.0 0.4
O_R    O      O      E     2  2   0   0   0.680     1.7500    0.00260184625       0.0     0.0      110.0         0.0   8.02  1.6 1.0 0.9
O_2    O      O      E     2  2   0   0   0.634     1.7500    0.00260184625       0.0     0.0      120.0         0.0   8.02  1.6 1.0 0.0
O_1    O      O      E     2  2   0   0   0.639     1.7500    0.00260184625       0.0     0.0      180.0         0.0   8.02  1.6 1.0 0.0
